kanji,reading,meaning,kaku
誘う,さそ（う）,to invite (also: to seduce),hai
試合,しあい,game,
席,せき,seat,
一緒,いっしょ,together,
喜んで,よろこ（んで）,gladly,
野球,やきゅう,baseball,
古希,こき,seventy years of age,
お祝い,（お）いわ（い）,celebration,hai
〜歳,〜さい,〜 years old,
秋葉原,あきはばら,Akihabara,
部品,ぶひん,parts,hai
組み立てる,く（み）た（てる）,to put together; to assemble,
専門店,せんもんてん,specialist shops,hai
電気街,でんきがい,electric store district,
改札,かいさつ,ticket gate,
出口,でぐち,exit,
音,おと,sound,hai
欲しい,ほ（しい）,to want (〜some noun),hai
昔,むかし,the past; the olden days,hai
映画監督,えいがかんとく,movie director,
侍,さむらい,Samurai,hai
徹夜する,てつや（する）,to stay up all night,
・,きっと,"for sure, surely",
盛ん（な）,さか（ん）（な）,popular (not for person),
人気がある,にんき（がある）,popular (ie: has popularity),hai
紹介,しょうかい,introduction (する：to introduce),
その他,（その）た,And others (also read as （その）ほか）,hai
訪問する,ほうもん（する）,to visit,
３０年代,３０ねんだい,a 30 year old,
前半,ぜんはん,first half,
選手,せんしゅ,player,
集める,あつ（める）,to gather (something) (transitive を),hai
集まる,あつ（まる）,to gather (intransitive が),hai
戦う,たたか（う）,to fight,
簡単に,かんたん（に）,easily,
負ける,ま（ける）,to lose,hai
太平洋戦争,たいへいようせんそう,WWII,
終わる,お（わる）,to end (intransitive が),hai
始める,はじ（める）,to begin (transitive を),
始まる,はじ（まる）,to begin (intransitive が）,hai
戦死する,せんし（する）,to die in battle,
活躍する,かつやく（する）,to play an active part in,
増える,ふ（える）,to increase,hai
優勝,ゆうしょう,"overall victory, championship",
全国,ぜんこく,the entire nation,hai
高校野球,こうこうやきゅう,high school baseball,
県,けん,prefecture,hai
地域,ちいき,region,hai
予選,よせん,preliminary,
大会,たいかい,(big) tournament,
野球場,やきゅうじょう,baseball stadium,
応援する,おうえん（する）,"to support, to cheer (transitive を)",
私立,しりつ,"private (ie: founded with private fund, eg: private university, etc.)",hai
観客,かんきゃく,spectator,
欧米,おうべい,the West,hai
伝統的（な）,でんとうてき（な）,traditional,hai
名窯（な）,めいよ（な）,honorable,
日本代表,にほんだいひょう,Japanese representative,
相撲,すもう,Sumō wrestling,
論文,ろんぶん,thesis,hai
単語,たんご,"word, vocabulary",hai
座る,すわ（る）,to sit,
