kanji,reading,meaning,kaku
意見,いけん,opinion,hai
平気な,へいき（な）,"unperturbed, calm",
我慢,がまん,"patience, tolerance（する：to put up with)",
勝手なことをする,かって（なことをする）,to have one's own way,
昼間,ひるま,daytime,
寂しい,さび（しい）,lonely,
付き合う,つ（き）あ（う）,"to keep (someone) company, to go out",hai
アメリカ式,（アメリカ）しき,American style,
・,ひどい,unfair; cruel; savage,
・,おとなしい,quiet; submissive,
先輩,せんぱい,senpai,
お弁当,（お）べんとう,bento,
厚焼き卵,あつやきたまご,thick Japanese-style omlet,
理想,りそう,ideal,hai
３高,さんこう,"the 3 ""highs""",
身長,しんちょう,height,
収入,しゅうにゅう,income,
学歴,がくれき,level of education,hai
性格,せいかく,character; personality,
家事,かじ,housework,hai
育児,いくじ,child-rearing,hai
望む,のぞ（む）,to desire; to hope,
縁,えん,fate; karma,
入力,にゅうりょく,a data entry（する：to input data),
書類,しょるい,a document,hai
お茶くみ,（お）ちゃ（くみ）,serving tea,
順番に,じゅんばん（に）,taking turns,
課長,かちょう,section chief,
雇う,やと（う）,to hire,hai
一般職,いっぱんしょく,clerical job,
総合職,そうごうしょく,regular position,hai
企画,きかく,planning,
機械,きかい,machine,
自身,じしん,self,
続ける,つづ（ける）,to continue,
悩む,なや（む）,to agonize,
三重苦,さんじゅうく,the triple afflictions,
世の中,よ（の）なか,society; world,
企業,きぎょう,"industry, business",hai
戦後,せんご,post-war,hai
共働き,ともばたら（き）,husband and wife both working (dual-income),hai
変身,へんしん,self-transformation（する：to change oneself),
応じる,おう（じる）,"to satisfy, to reply",
産む,う（む）,"to give birth, to deliver, to produce",
育てる,そだ（てる）,to raise (a child),
妻,つま,one's wife,
奥さん,おく（さん）,somebody's wife,
ご主人,（ご）しゅじん,somebody's husband,
夫,おっと,one's husband,
夫婦,ふうふ,husband and wife,hai
専業主婦,せんぎょうしゅふ,housewife,
〜に適応する,（〜に）てきおう（する）,to adapt,
一部,いちぶ,a part of; some,
相棒,あいぼう,one's partner,
身の回りの世話,み（の）まわ（りの）せわ,care in one's home life,
兼業,けんぎょう,holding to jobs at the same time,
苦しみ,くる（しみ）,suffering,
重荷,おもに,burden,
下積み,したづ（み）,holding a lower position,
苦労,くろう,hardship; suffering,
〜に耐える,（〜に）た（える）,to endure something (に）,
超人的に,ちょうじんてき（に）,superhumanly,
超人ぶり,ちょうじん（ぶり）,being like a superhuman,
尊敬する,そんけい（する）,to respect,
努力,どりょく,effort,hai
〜力,〜りょく,ability of / power to 〜,
負ける,ま（ける）,to lose,
〜に賛成する,（〜に）さんせい（する）,to agree,hai
理解する,りかい（する）,to understand,hai
力,ちから,strength,
〜に合わせる,（〜に）あ（わせる）,to adapt to (〜に）,
不公平な,ふこうへい（な）,unfair (from unfairness),hai
戸籍,こせき,family register,
否定する,ひてい（する）,to reject; to deny,
入籍する,にゅうせき（する）,to enter one's name into the family registry,
同棲する,どうせい（する）,living together in a defacto relationship,
〜組,〜ぐみ・くみ,a group of people doing the same thing,
破綻する,はたん（する）,to break up,
損をする,そん（をする）,to be at a disadvantage,
生き方,い（き）かた,way of living,
個人,こじん,individual,hai
自由,じゆう,freedom,hai
期待する,きたい（する）,"to expect, to count on",
反対する,はんたい（する）,to oppose,hai
